health_state,utility,setting,funding
Past M.I. (>1 year),0.94,Canada,GovernmentFoundationHealth Care
Past M.I. (>1 year),0.95,Canada,GovernmentFoundationHealth Care
Lung cancer: progressive / late stage,0.5517,United Kingdom,GovernmentFoundationHealth Care
Lung cancer: progressive / late stage,0.5548,United Kingdom,GovernmentFoundationHealth Care
Lung cancer: progressive / late stage,0.576,United Kingdom,GovernmentFoundationHealth Care
Lung cancer: progressive / late stage,0.5756,United Kingdom,GovernmentFoundationHealth Care
Lung cancer: progression-free / early stage,0.6482,United Kingdom,GovernmentFoundationHealth Care
Lung cancer: progression-free / early stage,0.6407,United Kingdom,GovernmentFoundationHealth Care
Lung cancer: progression-free / early stage,0.6438,United Kingdom,GovernmentFoundationHealth Care
Lung cancer: progression-free / early stage,0.6193,United Kingdom,GovernmentFoundationHealth Care
CVD: mild (Rankin 0-1),0.6151,Argentina,Pharm Or Device
CVD: moderate (Rankin 2-3),0.5646,Argentina,Pharm Or Device
CVD: severe (Rankin 4-5),0.5142,Argentina,Pharm Or Device
Colorectal cancer: progressive / late stage,0.762,Germany,Government
"Alzheimer's: severe, not independent",0.89,United States,Pharm Or Device
"Alzheimer's: severe, not independent",0.86,United States,Pharm Or Device
"Alzheimer's: severe, not independent",0.88,United States,Pharm Or Device
"Alzheimer's: severe, not independent",0.86,United States,Pharm Or Device
"Alzheimer's: severe, not independent",0.42,United States,Pharm Or Device
"Alzheimer's: severe, not independent",0.46,United States,Pharm Or Device
"Alzheimer's: severe, not independent",0.33,United States,Pharm Or Device
"Alzheimer's: severe, not independent",0.37,United States,Pharm Or Device
Lung cancer: progressive / late stage,0.473,Germany,Government
Lung cancer: progressive / late stage,0.403,Germany,Government
Lung cancer: progressive / late stage,0.426,Germany,Government
Lung cancer: progressive / late stage,0.4,Germany,Government
Lung cancer: progressive / late stage,0.383,Germany,Government
Lung cancer: progressive / late stage,0.428,Germany,Government
Lung cancer: progressive / late stage,0.45,Germany,Government
Lung cancer: progressive / late stage,0.383,Germany,Government
Lung cancer: progressive / late stage,0.45,Germany,Government
Lung cancer: progressive / late stage,0.441,Germany,Government
Lung cancer: progressive / late stage,0.42,Germany,Government
Lung cancer: progression-free / early stage,0.653,Germany,Government
Lung cancer: progression-free / early stage,0.583,Germany,Government
Lung cancer: progression-free / early stage,0.606,Germany,Government
Lung cancer: progression-free / early stage,0.58,Germany,Government
Lung cancer: progression-free / early stage,0.563,Germany,Government
Lung cancer: progression-free / early stage,0.563,Germany,Government
Lung cancer: progression-free / early stage,0.621,Germany,Government
Lung cancer: progression-free / early stage,0.6,Germany,Government
Lung cancer: progression-free / early stage,0.608,Germany,Government
COPD: mild to moderate,0.838,United States,Pharm Or Device
COPD: mild to moderate,0.873,United States,Pharm Or Device
COPD: mild to moderate,0.729,United States,Pharm Or Device
COPD: mild to moderate,0.765,United States,Pharm Or Device
COPD: mild to moderate,0.801,United States,Pharm Or Device
COPD: severe to very severe,0.625,United States,Pharm Or Device
COPD: severe to very severe,0.653,United States,Pharm Or Device
COPD: severe to very severe,0.692,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.482,United States,Pharm Or Device
Breast cancer: progression-free / early stage,0.756,United States,Pharm Or Device
Breast cancer: progression-free / early stage,0.748,United States,Pharm Or Device
Breast cancer: progression-free / early stage,0.753,United States,Pharm Or Device
Breast cancer: progression-free / early stage,0.767,United States,Pharm Or Device
Compensated cirrhosis,0.74,Greece,Pharm Or Device
Decompensated cirrhosis,0.66,Greece,Pharm Or Device
Decompensated cirrhosis,0.66,Greece,Pharm Or Device
Prior liver transplant (>1 year),0.69,Greece,Pharm Or Device
Prior liver transplant (<1 year),0.69,Greece,Pharm Or Device
Hepatitis C: chronic infection,0.76,Greece,Pharm Or Device
Hepatitis C: chronic infection,0.76,Greece,Pharm Or Device
Hepatitis C: chronic infection,0.76,Greece,Pharm Or Device
Hepatitis C: chronic infection,0.76,Greece,Pharm Or Device
Compensated cirrhosis,0.55,United Kingdom,Government
Decompensated cirrhosis,0.45,United Kingdom,Government
Prior liver transplant (<1 year),0.45,United Kingdom,Government
Prior liver transplant (>1 year),0.67,United Kingdom,Government
Compensated cirrhosis,0.72,United Kingdom,Government
CVD: mild (Rankin 0-1),0.65,United States,Government
CVD: moderate (Rankin 2-3),0.5,United States,Government
CVD: severe (Rankin 4-5),0.35,United States,Government
CVD: severe (Rankin 4-5),0.2,United States,Government
Decompensated cirrhosis,0.6,Canada,GovernmentFoundation
Prior liver transplant (<1 year),0.69,Canada,GovernmentFoundation
CVD: mild (Rankin 0-1),0.75,China,Pharm Or Device
Compensated cirrhosis,0.55,Switzerland,Pharm Or DeviceOther
Compensated cirrhosis,0.4,Switzerland,Pharm Or DeviceOther
Compensated cirrhosis,0.4,Switzerland,Pharm Or DeviceOther
Decompensated cirrhosis,0.45,Switzerland,Pharm Or DeviceOther
Hepatitis B: chronic infection,0.685,Canada,Foundation
Hepatitis B: chronic infection,0.65,Canada,Foundation
Hepatitis B: chronic infection,0.7,Canada,Foundation
Hepatitis B: chronic infection,0.5,Canada,Foundation
Hepatitis B: chronic infection,0.9,Canada,Foundation
Hepatitis B: chronic infection,0.9,Canada,Foundation
Compensated cirrhosis,0.81,Canada,Foundation
Decompensated cirrhosis,0.49,Canada,Foundation
Hepatitis B: chronic infection,0.87,Canada,Foundation
Hepatitis B: chronic infection,0.72,Canada,Foundation
Breast cancer: progressive / late stage,0.614,Canada,GovernmentHealth CarePro Memb Org
Compensated cirrhosis,0.55,United Kingdom,Pharm Or Device
Decompensated cirrhosis,0.45,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.45,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.74,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.99,United States,Government
Hepatitis C: chronic infection,0.88,United States,Government
Lung cancer: progressive / late stage,0.573,Netherlands,Health Care
Lung cancer: progression-free / early stage,0.825,Netherlands,Health Care
Diabetes w/o complications,0.814,Spain,Pharm Or Device
Diabetes w/ amputation,0.68,Spain,Pharm Or Device
Diabetes w/ dialysis,0.49,Spain,Pharm Or Device
Past M.I. (>1 year),0.736,Spain,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.624,Spain,Pharm Or Device
Diabetes w/ dialysis,0.56,Spain,Pharm Or Device
CVD: mild (Rankin 0-1),0.63,Australia,GovernmentFoundationPharm Or Device
Major depressive order: moderate,0.46,Taiwan,Health Care
Major depressive order: severe,0.27,Taiwan,Health Care
Hepatitis B: chronic infection,0.52,China,Government
Compensated cirrhosis,0.57,China,Government
Decompensated cirrhosis,0.26,China,Government
Decompensated cirrhosis,0.672,United States,Pharm Or Device
Hepatitis C: chronic infection,0.79,United States,Pharm Or Device
Compensated cirrhosis,0.748,United States,Pharm Or Device
Compensated cirrhosis,0.69,Canada,Government
Decompensated cirrhosis,0.65,Canada,Government
Hepatitis C: chronic infection,0.73,Canada,Government
Hepatitis C: chronic infection,0.71,Canada,Government
Hepatitis C: chronic infection,0.75,Canada,Government
Hepatitis C: chronic infection,0.72,Canada,Government
Hepatitis C: chronic infection,0.62,United States,Government
Hepatitis C: chronic infection,0.48,United States,Government
Hepatitis C: chronic infection,0.89,United States,Government
Hepatitis C: chronic infection,0.9,United States,Government
Hepatitis C: chronic infection,0.95,United States,Government
CVD: mild (Rankin 0-1),0.9,Spain,Pro Memb Org
CVD: mild (Rankin 0-1),0.68,Spain,Pro Memb Org
CVD: moderate (Rankin 2-3),0.47,Spain,Pro Memb Org
CVD: moderate (Rankin 2-3),0.2,Spain,Pro Memb Org
CVD: severe (Rankin 4-5),0.07,Spain,Pro Memb Org
Past M.I. (>1 year),0.9,United States,GovernmentOther
Past M.I. (<1 year),0.88,United States,GovernmentOther
Breast cancer: progression-free / early stage,0.87,United States,Government
Breast cancer: progressive / late stage,0.84,United States,Government
Breast cancer: progression-free / early stage,0.91,United States,Government
Breast cancer: progression-free / early stage,0.99,United States,Government
Breast cancer: progressive / late stage,0.23,United States,Government
Breast cancer: progressive / late stage,0.443,Australia,Foundation
CVD: mild (Rankin 0-1),0.771,Japan,Pharm Or Device
CVD: mild (Rankin 0-1),0.784,Japan,Pharm Or Device
CVD: moderate (Rankin 2-3),0.431,Japan,Pharm Or Device
CVD: moderate (Rankin 2-3),0.443,Japan,Pharm Or Device
CVD: severe (Rankin 4-5),0.092,Japan,Pharm Or Device
CVD: severe (Rankin 4-5),0.092,Japan,Pharm Or Device
Stable angina,0.54,United Kingdom,Pharm Or Device
Stable angina,0.76,United Kingdom,Pharm Or Device
Stable angina,0.65,United Kingdom,Pharm Or Device
Hepatitis B: chronic infection,0.85,China,Pro Memb Org
Hepatitis B: chronic infection,0.69,China,Pro Memb Org
Decompensated cirrhosis,0.35,China,Pro Memb Org
CVD: mild (Rankin 0-1),0.6151,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.5646,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.5142,United States,Pharm Or Device
COPD: mild to moderate,0.86,United Kingdom,Government
COPD: mild to moderate,0.81,United Kingdom,Government
CVD: mild (Rankin 0-1),0.9,Netherlands,Government
CVD: moderate (Rankin 2-3),0.66,Netherlands,Government
CVD: severe (Rankin 4-5),0.43,Netherlands,Government
CVD: severe (Rankin 4-5),0.18,Netherlands,Government
CVD: mild (Rankin 0-1),0.598,United Kingdom,Pharm Or Device
CVD: moderate (Rankin 2-3),0.543,United Kingdom,Pharm Or Device
CVD: mild (Rankin 0-1),0.669,United Kingdom,Pharm Or Device
CVD: severe (Rankin 4-5),0.451,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.55,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.77,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.66,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.77,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.66,United Kingdom,Pharm Or Device
Decompensated cirrhosis,0.45,United Kingdom,Pharm Or Device
Prior liver transplant (<1 year),0.45,United Kingdom,Pharm Or Device
Prior liver transplant (>1 year),0.45,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.78,Belgium,Pharm Or DeviceOther
Hepatitis B: chronic infection,0.82,Belgium,Pharm Or DeviceOther
Decompensated cirrhosis,0.49,Belgium,Pharm Or DeviceOther
Prior liver transplant (<1 year),0.71,Belgium,Pharm Or DeviceOther
Hepatitis B: chronic infection,0.68,Italy,Pharm Or Device
Past M.I. (<1 year),0.875,Switzerland,Pharm Or Device
CVD: mild (Rankin 0-1),0.65,Switzerland,Pharm Or Device
Lung cancer: progressive / late stage,0.47,China,Foundation
COPD: exacerbation,0.99,Switzerland,Pharm Or Device
COPD: exacerbation,0.958,Switzerland,Pharm Or Device
COPD: severe to very severe,0.751,Switzerland,Pharm Or Device
COPD: severe to very severe,0.657,Switzerland,Pharm Or Device
Hepatitis C: chronic infection,0.75,United States,Pharm Or Device
Hepatitis C: chronic infection,0.79,United States,Pharm Or Device
Hepatitis C: chronic infection,0.72,United States,Pharm Or Device
Hepatitis C: chronic infection,0.79,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.4964,United Kingdom,Pharm Or Device
Breast cancer: progression-free / early stage,0.7733,United Kingdom,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.71,United Kingdom,None
Colorectal cancer: progression-free / early stage,0.68,United Kingdom,None
Colorectal cancer: progressive / late stage,0.48,United Kingdom,None
Colorectal cancer: progressive / late stage,0.24,United Kingdom,None
Breast cancer: progressive / late stage,0.45,Spain,Pharm Or Device
Breast cancer: progression-free / early stage,0.65,Spain,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.75,United Kingdom,Government
Colorectal cancer: progressive / late stage,0.69,United Kingdom,Government
Colorectal cancer: progression-free / early stage,0.78,United Kingdom,Government
Colorectal cancer: progressive / late stage,0.69,United Kingdom,Government
Colorectal cancer: progressive / late stage,0.69,United Kingdom,Government
Colorectal cancer: progression-free / early stage,0.78,United Kingdom,Government
Colorectal cancer: progressive / late stage,0.69,United Kingdom,Government
Colorectal cancer: progression-free / early stage,0.74,United States,Other
Colorectal cancer: progression-free / early stage,0.67,United States,Other
Colorectal cancer: progressive / late stage,0.5,United States,Other
Colorectal cancer: progressive / late stage,0.25,United States,Other
Unstable angina,0.66,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.79,Italy,Pharm Or Device
Breast cancer: progressive / late stage,0.89,Italy,Pharm Or Device
Breast cancer: progressive / late stage,0.86,Italy,Pharm Or Device
Breast cancer: progressive / late stage,0.45,Italy,Pharm Or Device
Breast cancer: progressive / late stage,0.81,Italy,Pharm Or Device
Breast cancer: progressive / late stage,0.65,Italy,Pharm Or Device
Major depressive order: severe,0.58,United Kingdom,Government
Major depressive order: severe,0.3,United Kingdom,Government
Diabetes w/ amputation,0.891,Spain,Pharm Or Device
Diabetes w/ dialysis,0.621,Spain,Pharm Or Device
Past M.I. (>1 year),0.736,Spain,Pharm Or Device
Past M.I. (<1 year),0.871,Spain,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.63,Spain,Pharm Or Device
Past M.I. (>1 year),0.95,Canada,Government
Past M.I. (<1 year),0.87,Canada,Government
Past M.I. (>1 year),0.94,Canada,Government
Hepatitis C: chronic infection,0.73,United States,Government
Compensated cirrhosis,0.74,United States,Government
Decompensated cirrhosis,0.69,United States,Government
Prior liver transplant (>1 year),0.7,United States,Government
Prior liver transplant (<1 year),0.7,United States,Government
Hepatitis C: chronic infection,0.87,United Kingdom,Government
Hepatitis C: chronic infection,0.92,United Kingdom,Government
Compensated cirrhosis,0.85,United Kingdom,Government
Decompensated cirrhosis,0.74,United Kingdom,Government
Compensated cirrhosis,0.28,United Kingdom,Government
Decompensated cirrhosis,0.3,United Kingdom,Government
Hepatitis C: chronic infection,0.92,United Kingdom,Government
Hepatitis C: chronic infection,0.89,United Kingdom,Government
Hepatitis C: chronic infection,0.89,United Kingdom,Government
Breast cancer: progressive / late stage,0.424,United States,None
CVD: severe (Rankin 4-5),0.205,Canada,Foundation
CVD: severe (Rankin 4-5),0.39,Canada,Foundation
CVD: severe (Rankin 4-5),0.11,Canada,Foundation
Diabetes w/o complications,0.639,United Kingdom,Government
Diabetes w/o complications,0.672,United Kingdom,Government
Compensated cirrhosis,0.69,Brazil,None
Decompensated cirrhosis,0.35,Brazil,None
Prior liver transplant (<1 year),0.57,Brazil,None
Prior liver transplant (>1 year),0.67,Brazil,None
Hepatitis B: chronic infection,0.68,Brazil,None
Stable angina,0.832,Canada,Government
Stable angina,0.533,Canada,Government
CVD: moderate (Rankin 2-3),0.46,Portugal,Pharm Or Device
CVD: mild (Rankin 0-1),0.87,Germany,None
CVD: mild (Rankin 0-1),0.9,Germany,None
Diabetes w/ peripheral neuropathy,0.646,China,Government
Diabetes w/ peripheral neuropathy,0.641,China,Government
Diabetes w/ peripheral neuropathy,0.551,China,Government
Diabetes w/ peripheral neuropathy,0.667,China,Government
Diabetes w/ peripheral neuropathy,0.662,China,Government
Diabetes w/ peripheral neuropathy,0.572,China,Government
"Alzheimer's: mild, independent living",0.6,France,Pharm Or Device
"Alzheimer's: severe, not independent",0.34,France,Pharm Or Device
Major depressive order: severe,0.267,Italy,None
Major depressive order: severe,0.57,Italy,None
Diabetes w/ peripheral neuropathy,0.823,United States,FoundationOther
Lung cancer: progression-free / early stage,0.772,United States,FoundationOther
Lung cancer: progressive / late stage,0.573,United States,FoundationOther
Breast cancer: progressive / late stage,0.76,Brazil,Government
Breast cancer: progressive / late stage,0.7,Brazil,Government
Breast cancer: progressive / late stage,0.68,Brazil,Government
Breast cancer: progression-free / early stage,0.739,Brazil,Government
Breast cancer: progression-free / early stage,0.762,Brazil,Government
CVD: severe (Rankin 4-5),0.27,United Kingdom,Government
CVD: mild (Rankin 0-1),0.85,United Kingdom,Government
Decompensated cirrhosis,0.45,Spain,None
Hepatitis C: chronic infection,0.45,Spain,None
Hepatitis C: chronic infection,0.77,Spain,None
Hepatitis C: chronic infection,0.66,Spain,None
Lung cancer: progression-free / early stage,0.7086,Israel,GovernmentOther
Lung cancer: progression-free / early stage,0.3412,Israel,GovernmentOther
Lung cancer: progressive / late stage,0.0832,Israel,GovernmentOther
Hepatitis C: chronic infection,0.9,Italy,None
Compensated cirrhosis,0.78,Italy,None
Decompensated cirrhosis,0.65,Italy,None
Hepatitis C: chronic infection,0.82,Italy,None
Hepatitis C: chronic infection,0.98,Italy,None
Major depressive order: severe,0.36,United States,None
Colorectal cancer: progression-free / early stage,0.95,Canada,Other
Colorectal cancer: progressive / late stage,0.575,Canada,Other
Hepatitis C: chronic infection,0.82,Brazil,Other
Compensated cirrhosis,0.78,Brazil,Other
Decompensated cirrhosis,0.65,Brazil,Other
Prior liver transplant (<1 year),0.5,Brazil,Other
Prior liver transplant (>1 year),0.7,Brazil,Other
Hepatitis C: chronic infection,0.82,Spain,Pharm Or Device
Compensated cirrhosis,0.78,Spain,Pharm Or Device
Decompensated cirrhosis,0.65,Spain,Pharm Or Device
Prior liver transplant (<1 year),0.5,Spain,Pharm Or Device
Prior liver transplant (>1 year),0.7,Spain,Pharm Or Device
Diabetes w/ vision loss,0.519,United States,GovernmentFoundation
Diabetes w/ amputation,0.584,United States,GovernmentFoundation
Diabetes w/ peripheral neuropathy,0.678,United States,GovernmentFoundation
Diabetes w/ peripheral neuropathy,0.624,United States,GovernmentFoundation
Hepatitis B: chronic infection,0.85,Canada,FoundationOther
Compensated cirrhosis,0.83,Canada,FoundationOther
Decompensated cirrhosis,0.45,Canada,FoundationOther
Hepatitis B: chronic infection,0.9,Canada,FoundationOther
Prior liver transplant (<1 year),0.71,Canada,FoundationOther
Hepatitis B: chronic infection,0.95,Canada,FoundationOther
Past M.I. (<1 year),0.832,Australia,Government
Past M.I. (>1 year),0.868,Australia,Government
Breast cancer: progression-free / early stage,0.9,United States,Other
Breast cancer: progression-free / early stage,0.75,United States,Other
Breast cancer: progressive / late stage,0.75,United States,Other
Breast cancer: progressive / late stage,0.6,United States,Other
Breast cancer: progressive / late stage,0.484,Colombia,None
Diabetes w/ peripheral neuropathy,0.64,Mexico,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.576,Mexico,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.608,Mexico,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.38,Mexico,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.342,Mexico,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.361,Mexico,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.89,Singapore,None
Colorectal cancer: progression-free / early stage,0.87,Singapore,None
Colorectal cancer: progression-free / early stage,0.67,Singapore,None
Colorectal cancer: progressive / late stage,0.75,Singapore,None
Colorectal cancer: progressive / late stage,0.55,Singapore,None
Colorectal cancer: progressive / late stage,0.66,Singapore,None
Colorectal cancer: progressive / late stage,0.25,Singapore,None
Colorectal cancer: progression-free / early stage,0.74,Singapore,None
Breast cancer: progression-free / early stage,0.69,United Kingdom,None
Breast cancer: progression-free / early stage,0.78,United Kingdom,None
Compensated cirrhosis,0.75,Japan,Other
Decompensated cirrhosis,0.66,Japan,Other
Lung cancer: progressive / late stage,0.47,Switzerland,Government
Lung cancer: progression-free / early stage,0.61,Switzerland,Government
Breast cancer: progressive / late stage,0.29,Canada,GovernmentFoundation
Breast cancer: progressive / late stage,0.65,Canada,GovernmentFoundation
Breast cancer: progressive / late stage,0.29,Canada,GovernmentFoundation
Breast cancer: progression-free / early stage,0.5,Japan,Government
Breast cancer: progression-free / early stage,0.7,Japan,Government
Breast cancer: progression-free / early stage,0.84,Japan,Government
Breast cancer: progression-free / early stage,0.98,Japan,Government
Breast cancer: progression-free / early stage,0.8,Japan,Government
Breast cancer: progression-free / early stage,0.9,Japan,Government
Breast cancer: progression-free / early stage,0.49,Japan,Government
Colorectal cancer: progressive / late stage,0.25,Canada,Government
Compensated cirrhosis,0.79,United States,Other
Decompensated cirrhosis,0.72,United States,Other
Hepatitis C: chronic infection,0.98,United States,Other
Hepatitis C: chronic infection,0.85,United States,Other
Breast cancer: progressive / late stage,0.71,United States,None
Breast cancer: progressive / late stage,0.796,United States,None
Hepatitis C: chronic infection,0.79,United States,Government
Decompensated cirrhosis,0.69,United States,Government
Prior liver transplant (<1 year),0.5,United States,Government
Prior liver transplant (>1 year),0.77,United States,Government
Breast cancer: progressive / late stage,0.796,Australia,Government
Colorectal cancer: progressive / late stage,0.6,Japan,FoundationOther
Hepatitis C: chronic infection,0.62,United States,Government
Hepatitis C: chronic infection,0.48,United States,Government
Hepatitis C: chronic infection,0.89,United States,Government
CVD: mild (Rankin 0-1),0.936,Sweden,GovernmentFoundation
CVD: severe (Rankin 4-5),0.054,Sweden,GovernmentFoundation
Breast cancer: progressive / late stage,0.5669,united states,Pharm Or Device
CVD: mild (Rankin 0-1),0.84,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.46,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.53,United States,Pharm Or Device
Past M.I. (>1 year),0.93,Greece,Pharm Or Device
Past M.I. (<1 year),0.84,Greece,Pharm Or Device
Diabetes w/ amputation,0.705,United States,Pharm Or Device
Diabetes w/ amputation,0.68,United States,Pharm Or Device
Diabetes w/ dialysis,0.604,United States,Pharm Or Device
Past M.I. (<1 year),0.685,United States,Pharm Or Device
Past M.I. (>1 year),0.736,United States,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.63,United States,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.57,United States,Pharm Or Device
Diabetes w/ dialysis,0.612,United States,Pharm Or Device
Diabetes w/ vision loss,0.57,United States,Pharm Or Device
Past M.I. (>1 year),0.718,United Kingdom,GovernmentHealth Care
Past M.I. (<1 year),0.683,United Kingdom,GovernmentHealth Care
CVD: mild (Rankin 0-1),0.74,United Kingdom,GovernmentHealth Care
COPD: exacerbation,0.747,Germany,Government
COPD: exacerbation,0.837,Germany,Government
COPD: exacerbation,0.787,Germany,Government
COPD: exacerbation,0.747,Germany,Government
COPD: exacerbation,0.647,Germany,Government
COPD: exacerbation,0.71,Germany,Government
COPD: exacerbation,0.731,Germany,Government
COPD: exacerbation,0.77,Germany,Government
COPD: exacerbation,0.721,Germany,Government
COPD: exacerbation,0.731,Germany,Government
COPD: exacerbation,0.615,Germany,Government
COPD: exacerbation,0.634,Germany,Government
COPD: exacerbation,0.759,Germany,Government
COPD: mild to moderate,0.84,Germany,Government
COPD: mild to moderate,0.79,Germany,Government
COPD: severe to very severe,0.75,Germany,Government
COPD: severe to very severe,0.65,Germany,Government
Hepatitis B: chronic infection,0.68,Turkey,Other
Compensated cirrhosis,0.69,Turkey,Other
Decompensated cirrhosis,0.35,Turkey,Other
Lung cancer: progressive / late stage,0.473,France,GovernmentPharm Or Device
Lung cancer: progression-free / early stage,0.653,France,GovernmentPharm Or Device
Lung cancer: progression-free / early stage,0.673,France,GovernmentPharm Or Device
Past M.I. (<1 year),0.76,Greece,Pharm Or Device
Prior liver transplant (>1 year),0.629,Belgium,GovernmentOther
Prior liver transplant (<1 year),0.626,Belgium,GovernmentOther
Prior liver transplant (<1 year),0.576,Belgium,GovernmentOther
Prior liver transplant (<1 year),0.601,Belgium,GovernmentOther
Prior liver transplant (<1 year),0.368,Belgium,GovernmentOther
Hepatitis B: chronic infection,0.99,United States,None
Compensated cirrhosis,0.8,United States,None
Decompensated cirrhosis,0.6,United States,None
Hepatitis B: chronic infection,0.6,United States,None
Diabetes w/ amputation,0.493,Canada,GovernmentFoundationOther
Diabetes w/ vision loss,0.699,Canada,GovernmentFoundationOther
Past M.I. (<1 year),0.76,International,Pharm Or Device
Stable angina,0.84,International,Pharm Or Device
Unstable angina,0.74,International,Pharm Or Device
Breast cancer: progressive / late stage,0.62,United States,Government
Breast cancer: progression-free / early stage,0.92,United States,Government
Breast cancer: progression-free / early stage,0.82,United States,Government
Breast cancer: progression-free / early stage,0.92,United States,Government
Breast cancer: progression-free / early stage,0.92,United States,Government
Breast cancer: progression-free / early stage,0.92,United States,Government
Stable angina,0.46,United States,None
Stable angina,0.76,United States,None
Stable angina,0.43,United States,None
Stable angina,0.43,United States,None
Stable angina,0.43,United States,None
Stable angina,0.63,United States,None
Stable angina,0.43,United States,None
CVD: severe (Rankin 4-5),0.26,United States,Pro Memb Org
COPD: mild to moderate,0.81,Canada,None
COPD: mild to moderate,0.72,Canada,None
COPD: severe to very severe,0.67,Canada,None
COPD: exacerbation,0.519,Canada,None
COPD: exacerbation,0.447,Canada,None
COPD: exacerbation,0.408,Canada,None
COPD: exacerbation,0.72,Canada,None
COPD: exacerbation,0.658,Canada,None
COPD: exacerbation,0.475,Canada,None
Compensated cirrhosis,0.57,China,GovernmentHealth CarePro Memb Org
Decompensated cirrhosis,0.26,China,GovernmentHealth CarePro Memb Org
Hepatitis B: chronic infection,0.31,China,GovernmentHealth CarePro Memb Org
Hepatitis B: chronic infection,0.52,China,GovernmentHealth CarePro Memb Org
Hepatitis B: chronic infection,0.7,China,GovernmentHealth CarePro Memb Org
